date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Fri Jun 08 23:59:55 +0000 2018,Lithium,lithium33x,999,677,False,en,0,0
Fri Jun 08 23:59:54 +0000 2018,Bitcoin Interest (OFFICIAL),btcinterest,4982,239,False,en,4,8
Fri Jun 08 23:59:54 +0000 2018,Michael Mayer,1MichaelMayer,5,71,False,sv,0,0
Fri Jun 08 23:59:52 +0000 2018,暗号通貨 info,osm_nbt,5750,3705,False,ja,0,0
Fri Jun 08 23:59:51 +0000 2018,Coincox,coincox,1033,73,False,es,0,1
Fri Jun 08 23:59:50 +0000 2018,Smaniya,Smaniya17,191,387,False,en,0,0
Fri Jun 08 23:59:48 +0000 2018,Curtis Bolt,curtisbolt_98,1,60,False,ru,0,0
Fri Jun 08 23:59:45 +0000 2018,Tone Vays [#Unconfiscatable],ToneVays,181323,855,False,en,0,0
Fri Jun 08 23:59:44 +0000 2018,Brent Smith,jbsmith7845,127,667,False,en,0,0
Fri Jun 08 23:59:41 +0000 2018,Ivan Cordero,IvanCor73366633,632,3769,False,es,0,0
Fri Jun 08 23:59:39 +0000 2018,Tito Torres,TitoTorres2,300,473,False,en,0,0
Fri Jun 08 23:59:37 +0000 2018,ivan mehdi,mehdirs444,30,451,False,fr,0,0
Fri Jun 08 23:59:36 +0000 2018,FKWeb,fkwebsol,17413,74,False,en,0,0
Fri Jun 08 23:59:35 +0000 2018,chicharrón,Pcmz0448,1124,1072,False,es,0,0
Fri Jun 08 23:59:31 +0000 2018,Billy Eggleston,billyegglest_84,5,11,False,ru,0,0
Fri Jun 08 23:59:29 +0000 2018,Bitcoin Squirrel,BTCSQL,406,546,False,zh-cn,0,1
Fri Jun 08 23:59:28 +0000 2018,fallen odeia o estado kkkkkkkkkkkkkkkkk,krlFabricio,901,843,False,pt,0,0
Fri Jun 08 23:59:27 +0000 2018,AltCoin Watch,CryptoNewsBot,748,0,False,en,0,0
