date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Sun Jul 29 23:57:07 +0000 2018,hUll'banité,hullbanite,143,664,False,fr,0,0
Sun Jul 29 23:57:07 +0000 2018,GetHODLED - [🔑⚡BitcoinOnly🌑],GetHODLed,408,1428,False,en,0,0
Sun Jul 29 23:57:08 +0000 2018,BlackWolf,Blackwolves34,4,17,False,en,0,0
Sun Jul 29 23:57:11 +0000 2018,WGCrypto,WGCrypto,684,3956,False,en,0,0
Sun Jul 29 23:57:13 +0000 2018,smartconsultant,smarconsultant,68,937,False,nl,0,0
Sun Jul 29 23:57:16 +0000 2018,Ashley Lynn Woodward,CAshleylynn,618,1975,False,en,0,0
Sun Jul 29 23:57:16 +0000 2018,𝔏𝔬𝔯𝔡 𝔬𝔣 𝔈𝔣𝔣𝔦𝔠𝔦𝔢𝔫𝔠𝔶,raycecoyle,156,247,False,en,0,0
Sun Jul 29 23:57:17 +0000 2018,Ethereum World News,EtherWorldNews,5783,267,False,en,0,1
Sun Jul 29 23:57:21 +0000 2018,Roberto Bonfante,RobertBerfys,594,1909,False,it,0,0
Sun Jul 29 23:57:22 +0000 2018,Cryptosignalapp,Cryptosignalapp,50,32,False,en,0,0
Sun Jul 29 23:57:24 +0000 2018,freecryptokens,freecryptokens,2533,4546,False,en,0,0
Sun Jul 29 23:57:25 +0000 2018,thom theo,toptnt,815,4995,False,en,0,0
Sun Jul 29 23:57:31 +0000 2018,Love God,boldhead777,5958,6379,False,en-gb,0,0
Sun Jul 29 23:57:32 +0000 2018,Eden Herrera,Edenherrera85,176,506,False,es,0,0
Sun Jul 29 23:57:37 +0000 2018,BTC Ethereum,BtcEthereum,358,541,False,en,0,0
Sun Jul 29 23:57:38 +0000 2018,بو سليمان,WinMasterz,4233,513,False,en,0,0
Sun Jul 29 23:57:39 +0000 2018,Mestre Shao,MestreShao,870,1933,False,pt,0,0
Sun Jul 29 23:57:41 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:57:42 +0000 2018,TheProfessor,professorNick1,810,522,False,en,0,0
Sun Jul 29 23:57:43 +0000 2018,The Laughing Man,laughingmantwit,1383,3228,False,en,0,0
Sun Jul 29 23:57:43 +0000 2018,Morris Perico,morrsperico,2562,2492,False,en,0,1
Sun Jul 29 23:57:43 +0000 2018,CryptoMemes4You,CryptoMemes4You,388,1205,False,en,1,2
Sun Jul 29 23:57:46 +0000 2018,Arya Adika Riyansyah,arya_adika_r,8587,8318,False,id,0,0
Sun Jul 29 23:57:46 +0000 2018,Ovidiu,Ovidiu19055889,4,26,False,en,0,0
Sun Jul 29 23:57:48 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,1
Sun Jul 29 23:57:49 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:57:50 +0000 2018,aaron,aaronsevivas,1524,541,False,en,0,0
Sun Jul 29 23:57:50 +0000 2018,Bitcoin BTC Alt Crypto ⚡,CRYPT0N1TE,5856,624,False,en,0,2
Sun Jul 29 23:57:50 +0000 2018,Brian Pfeiffer,BrianSurreal,6269,5607,False,en,0,0
Sun Jul 29 23:57:50 +0000 2018,David Fermin,drejercicio,1289,3746,False,fr,0,0
Sun Jul 29 23:57:53 +0000 2018,Bitcoin News Bull,BitcoinNewsBull,1584,3952,False,en,0,0
Sun Jul 29 23:57:54 +0000 2018,Guillermo M.,maesitos,211,460,False,en,0,1
Sun Jul 29 23:57:54 +0000 2018,NeginSoleyman,NeginSoleyman,263,1133,False,en,0,0
Sun Jul 29 23:57:55 +0000 2018,Tika,kartikadwi_h,383,247,False,en,0,0
Sun Jul 29 23:57:56 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:57:57 +0000 2018,BTC Ethereum,BtcEthereum,358,541,False,en,0,0
Sun Jul 29 23:58:00 +0000 2018,Steve N Mackenzie,Steve_N_Kenzie,141,204,False,en,0,0
Sun Jul 29 23:58:00 +0000 2018,denyse hayward,denyse_hayward,357,206,False,en,0,0
Sun Jul 29 23:58:02 +0000 2018,BTC Ethereum,BtcEthereum,358,541,False,en,0,0
Sun Jul 29 23:58:03 +0000 2018,Ron,ronmc1,21346,23006,False,en,0,0
Sun Jul 29 23:58:03 +0000 2018,Bitcoin Sportsbook,SportsbookBTC,28734,29326,False,en,1,0
Sun Jul 29 23:58:04 +0000 2018,BitTrail News,RoccoDallas,1888,966,False,en,0,0
Sun Jul 29 23:58:05 +0000 2018,Blawks Crypto,Blawksy,1141,1417,False,en,0,0
Sun Jul 29 23:58:08 +0000 2018,isidoro ghezzi ⚡️,isidoroghezzi,208,172,False,en,0,0
Sun Jul 29 23:58:08 +0000 2018,jaynemesis ⚡ #FBPE,jaynemesis,4863,856,False,en,0,0
Sun Jul 29 23:58:09 +0000 2018,Justin William,squirrelboyz17,319,1924,False,en,0,0
Sun Jul 29 23:58:09 +0000 2018,Crypto & Dirt,douglaskphoto,796,1250,False,en,0,2
Sun Jul 29 23:58:09 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:58:12 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:58:13 +0000 2018,t wright,twright57,59,338,False,en,0,0
Sun Jul 29 23:58:14 +0000 2018,thom theo,toptnt,815,4995,False,en,0,0
Sun Jul 29 23:58:14 +0000 2018,Zona Mediática 🇪🇸,ZonaMediatica,57758,57521,False,es,0,0
Sun Jul 29 23:58:16 +0000 2018,Justin William,squirrelboyz17,319,1924,False,en,0,0
Sun Jul 29 23:58:17 +0000 2018,Đ.฿lock ⛩‏  Crypto Mining & Blockchain Explorer,Mind3Bitcoin,4921,5622,False,en,0,0
Sun Jul 29 23:58:18 +0000 2018,Boldman Capital Investor,alhajicrypto,75,417,False,en,0,0
Sun Jul 29 23:58:20 +0000 2018,Caçambita eu,recusa_resiste,175,149,False,pt,0,0
Sun Jul 29 23:58:21 +0000 2018,BTC Ethereum,BtcEthereum,358,541,False,en,0,0
Sun Jul 29 23:58:25 +0000 2018,MakeMoneyOn9,ZuryLostBoyS,247,597,False,en,0,0
Sun Jul 29 23:58:25 +0000 2018,Blue Phoenix Club,BluePhoenixFin,892,48,False,en,0,0
Sun Jul 29 23:58:26 +0000 2018,Indra98,indraamir1,39,267,False,id,0,0
Sun Jul 29 23:58:27 +0000 2018,Gerri 👠#DeclasFISA #BuildTheWall,gkilti,1966,625,False,en,0,0
Sun Jul 29 23:58:27 +0000 2018,DNA,WinterDNA,63,728,False,en,4,16
Sun Jul 29 23:58:29 +0000 2018,Arya Adika Riyansyah,arya_adika_r,8587,8318,False,id,0,0
Sun Jul 29 23:58:30 +0000 2018,nguyenduyanh01,nguyenduyanh01,1575,2054,False,vi,0,0
Sun Jul 29 23:58:30 +0000 2018,TraderCobb,TraderCobb,7678,1859,False,en,0,0
Sun Jul 29 23:58:31 +0000 2018,بو سليمان,WinMasterz,4233,513,False,en,0,0
Sun Jul 29 23:58:33 +0000 2018,𝔾𝕦𝕟𝕤 ℕ' ℂ𝕣𝕪𝕡𝕥𝕠,GunsNcrypto,174,134,False,en,0,0
Sun Jul 29 23:58:38 +0000 2018,Justin William,squirrelboyz17,319,1924,False,en,0,0
Sun Jul 29 23:58:40 +0000 2018,TheNextBigPlan,TheNextBigPlan,74,303,False,en,0,1
Sun Jul 29 23:58:41 +0000 2018,Yugioh,Yugioh1984,300,1666,False,en,0,0
Sun Jul 29 23:58:45 +0000 2018,BTC Architect,BTCarchitect,16543,145,False,en,0,3
Sun Jul 29 23:58:45 +0000 2018,LitecoinUKs,LitecoinUKs,2768,2718,False,en,0,0
Sun Jul 29 23:58:46 +0000 2018,Smartguy,Znarznarf,7,104,False,fr,0,0
Sun Jul 29 23:58:47 +0000 2018,Indra98,indraamir1,39,267,False,id,0,0
Sun Jul 29 23:58:54 +0000 2018,CryptoCrys,CrysCrypto,296,299,False,en,0,0
Sun Jul 29 23:58:55 +0000 2018,Hurdy-gurdy,TheBeardTv1,14,662,False,en,0,0
Sun Jul 29 23:58:56 +0000 2018,Bull N Bear,Parmigiani_S,37654,41,False,it,0,0
Sun Jul 29 23:59:02 +0000 2018,Djulian [Bot] 🇧🇷,BotDjulian,94,0,False,pt,0,0
Sun Jul 29 23:59:04 +0000 2018,Solomon Igbozurike,slimlotanna,27,277,False,en,0,0
Sun Jul 29 23:59:08 +0000 2018,WorldCoinIndex,WorldCoinIndex,9150,713,False,en,1,4
Sun Jul 29 23:59:09 +0000 2018,Coin Crunch,coincrunchio,3303,653,False,en,0,0
Sun Jul 29 23:59:12 +0000 2018,Hurdy-gurdy,TheBeardTv1,14,662,False,en,0,0
Sun Jul 29 23:59:16 +0000 2018,しんしん,hyaltu,600,2504,False,ja,0,0
Sun Jul 29 23:59:17 +0000 2018,CoinWire,CoinWireHQ,9774,1621,False,en,0,0
Sun Jul 29 23:59:19 +0000 2018,💯Electronic-Cash💱,BITC0IN,820,657,False,es,0,1
Sun Jul 29 23:59:19 +0000 2018,sameh alasaad,SamehAlasaad,15,53,False,en,0,6
Sun Jul 29 23:59:20 +0000 2018,XRP_Canada ✖️,XRP_Canada,3318,246,False,en,1,5
Sun Jul 29 23:59:21 +0000 2018,Wyvern Meorom,wyverntricks,15,61,False,en,0,0
Sun Jul 29 23:59:24 +0000 2018,Paul Ebeling,Redroadmaster,2000,1813,False,en,0,0
Sun Jul 29 23:59:25 +0000 2018,BitPaper,bit_paper,349,3334,False,tr,0,0
Sun Jul 29 23:59:27 +0000 2018,AirDropLover,lover_drop,1529,1990,False,ja,0,0
Sun Jul 29 23:59:31 +0000 2018,Dorothy Tucker,dorothytucker52,844,3866,False,en,0,0
Sun Jul 29 23:59:33 +0000 2018,Henry Popescu,henry_popescu,146,241,False,en,0,0
Sun Jul 29 23:59:39 +0000 2018,@anwarabdullah  #aan,aanaceh82,146,759,False,id,1,5
Sun Jul 29 23:59:41 +0000 2018,alavender21,alavender21,27,73,False,en,0,2
Sun Jul 29 23:59:51 +0000 2018,Trader Cobb,trader_cobb,352,3098,False,en,0,1
Sun Jul 29 23:59:51 +0000 2018,CoinMarket Media,coinmarketmedia,51,25,False,en,0,0
Sun Jul 29 23:59:53 +0000 2018,Braden,Bi0nicWarri0r,12,75,False,en,0,0
Sun Jul 29 23:59:53 +0000 2018,Lets Earn BTC,LetsEarnBTC,96,125,False,en,0,0
Sun Jul 29 23:59:57 +0000 2018,Ben Theobald,cryptobenjamino,3655,332,False,en,0,0
Mon Jul 30 23:57:11 +0000 2018,Cryptobuddie,Cryptobuddie,1398,2891,False,en,0,0
Mon Jul 30 23:57:11 +0000 2018,Michael,SubElement,182,190,False,en,0,0
Mon Jul 30 23:57:12 +0000 2018,Bryan Dover,racecrb,253,337,False,en,0,1
Mon Jul 30 23:57:17 +0000 2018,Luluk Ilmaknun,IlmaknunLulul,1802,3949,False,id,0,2
Mon Jul 30 23:57:18 +0000 2018,Michal M,MichalM84508935,31,123,False,en,0,0
Mon Jul 30 23:57:20 +0000 2018,moppy0014,moppy0014,0,0,False,ja,0,0
Mon Jul 30 23:57:22 +0000 2018,Cody Trevethan,CodyTrevethan,26,136,False,en,0,0
Mon Jul 30 23:57:23 +0000 2018,Scott Taylor,Scott15558056,539,4991,False,en-gb,0,0
Mon Jul 30 23:57:24 +0000 2018,Quinn Michaud,QLM1716,224,1171,False,en,0,0
Mon Jul 30 23:57:25 +0000 2018,CFD Market Review,Cfd_Reviews,70,98,False,en,0,0
Mon Jul 30 23:57:26 +0000 2018,EnuZetto,_EnuZetto,14,255,False,ja,0,0
Mon Jul 30 23:57:37 +0000 2018,Will Pangman ⚡️,Willwaukee,5177,3086,False,en,0,0
Mon Jul 30 23:57:38 +0000 2018,Haroun Kola,HarounKola,8374,6238,False,en,0,0
Mon Jul 30 23:57:39 +0000 2018,hgexgroup,hgexgroup,11,88,False,en,0,0
Mon Jul 30 23:57:47 +0000 2018,TuitReportes 🇪🇸,TuitReportes,44107,40975,False,es,1,0
Mon Jul 30 23:57:52 +0000 2018,Big Bad Wolf,shantyadon,83,429,False,en,0,0
Mon Jul 30 23:57:52 +0000 2018,CryptoHandelaar,CryptoHandelaar,1779,203,False,en,0,0
Mon Jul 30 23:57:53 +0000 2018,leonardo,leorivillini,112,180,False,pt,0,0
Mon Jul 30 23:57:55 +0000 2018,taiwandan,taiwandan,692,1042,False,en,0,2
Mon Jul 30 23:57:56 +0000 2018,Morris Perico,morrsperico,2562,2492,False,en,0,2
Mon Jul 30 23:57:56 +0000 2018,Satoshi Ultralite,magnumv8driver,506,959,False,en,0,0
Mon Jul 30 23:57:57 +0000 2018,Cryptobuddie,Cryptobuddie,1398,2891,False,en,0,0
Mon Jul 30 23:57:58 +0000 2018,Bitcoin News Bull,BitcoinNewsBull,1584,3952,False,en,0,1
Mon Jul 30 23:57:59 +0000 2018,aLex,alexjheee,2473,3532,False,en,0,0
Mon Jul 30 23:58:00 +0000 2018,CryptoCrew,CriptoCrew,159,480,False,es,1,4
Mon Jul 30 23:58:00 +0000 2018,Carelin García,CriptoCarelin,1682,192,False,es,0,0
Mon Jul 30 23:58:02 +0000 2018,wabbitshot,agalab,994,696,False,en,0,1
Mon Jul 30 23:58:05 +0000 2018,CryptoDaniella,CryptoDaniella,592,229,False,en,0,0
Mon Jul 30 23:58:07 +0000 2018,Javier M,medinacerecero,543,1028,False,es,0,0
Mon Jul 30 23:58:07 +0000 2018,Bitcoin World,bitcoinworldz,8969,1260,False,en,0,0
Mon Jul 30 23:58:09 +0000 2018,Mike V.,mikeyyy_v,91,290,False,en,0,0
Mon Jul 30 23:58:10 +0000 2018,James.P,i9view,1,42,False,ko,0,0
Mon Jul 30 23:58:11 +0000 2018,Ali Qamar,AliQammar57,1362,137,False,en,0,1
Mon Jul 30 23:58:12 +0000 2018,Tom_Digibyte,TommyF16,155,68,False,nl,0,0
Mon Jul 30 23:58:13 +0000 2018,Interstellar Mafia ⚔️,MashiachZachary,271,350,False,en,0,1
Mon Jul 30 23:58:16 +0000 2018,OpesInt,opes_int,121,152,False,en,0,0
Mon Jul 30 23:58:18 +0000 2018,BitcoinTroy,BitcoinTroy,577,1819,False,en,0,0
Mon Jul 30 23:58:19 +0000 2018,aLex,alexjheee,2473,3532,False,en,0,0
Mon Jul 30 23:58:19 +0000 2018,CyberWarrior,CyberDomain,20371,10466,False,en,1,1
Mon Jul 30 23:58:19 +0000 2018,Goldtwatter,Goldtwatter,1288,1284,False,en,0,0
Mon Jul 30 23:58:20 +0000 2018,Jack BULLson,JackDolan_x,310,763,False,en,0,1
Mon Jul 30 23:58:22 +0000 2018,CyberWarrior,CyberDomain,20371,10466,False,en,1,1
Mon Jul 30 23:58:23 +0000 2018,aLex,alexjheee,2473,3532,False,en,0,0
Mon Jul 30 23:58:25 +0000 2018,金井正太郎,ietezukayama,2847,4405,False,ja,0,0
Mon Jul 30 23:58:25 +0000 2018,Amolegbe Sunday,sundayamolegbe1,70,425,False,en,0,0
Mon Jul 30 23:58:25 +0000 2018,Rishabh,rishabhbaldi,84,76,False,en,1,4
Mon Jul 30 23:58:27 +0000 2018,Follow Help 10k 😍😗😍😗,demo3eljasmen,2905,4206,False,en,0,0
Mon Jul 30 23:58:30 +0000 2018,aLex,alexjheee,2473,3532,False,en,0,0
Mon Jul 30 23:58:35 +0000 2018,Spectrecoin community,XspecRising,4263,3858,False,en,16,31
Mon Jul 30 23:58:38 +0000 2018,daniel,amusingpiano,23,158,False,en,0,0
Mon Jul 30 23:58:38 +0000 2018,Crypto Rado,Crypto_Rado,1481,36,False,en,3,12
Mon Jul 30 23:58:39 +0000 2018,👑🇧🇸👑29(k)kingjayda👑Knowles🔺,kingjayKnowles,29427,20013,False,en,0,0
Mon Jul 30 23:58:43 +0000 2018,ワンチャン,one_chance_1_1,1844,2488,False,ja,0,0
Mon Jul 30 23:58:45 +0000 2018,Schneizel,HistoriaImagens,16758,9223,False,en,0,1
Mon Jul 30 23:58:46 +0000 2018,TomColemanrt1,TomColemanrt1,2174,1908,False,en,0,0
Mon Jul 30 23:58:48 +0000 2018,Rosanna Morales,rosannafreedom1,11242,10747,False,es,0,0
