date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Wed Aug 15 23:56:34 +0000 2018,SecurityNews,SecurityNews,723,4,False,en,0,0
Wed Aug 15 23:56:36 +0000 2018,Crypto Bitcoin Investor,TradingbotC,166,1225,False,en,0,0
Wed Aug 15 23:56:37 +0000 2018,Tracking Cryptos,trackingcryptos,532,1854,False,en,0,0
Wed Aug 15 23:56:37 +0000 2018,Ant,AnthonyAmaral,398,216,False,en,0,0
Wed Aug 15 23:56:39 +0000 2018,Dustin - Did You Know Crypto Podcast,DustinDry1st,667,653,False,en,0,0
Wed Aug 15 23:56:49 +0000 2018,Asrem Chendo,GlobalRENews,13013,14564,False,en,0,0
Wed Aug 15 23:56:50 +0000 2018,Satoshi House ⚡️⚡️⚡️,crypto_revolver,630,1707,False,en,0,0
Wed Aug 15 23:56:51 +0000 2018,cryptocurious,cryptovor,15,222,False,en,0,0
Wed Aug 15 23:56:58 +0000 2018,BlueChipTalent,MarvLBluechip,2119,2393,False,en,0,0
Wed Aug 15 23:56:59 +0000 2018,Agujerillo,Agujerillo_B,1979,2131,False,es,0,0
Wed Aug 15 23:57:00 +0000 2018,Iyke Aru,iykearu,484,304,False,en,0,0
Wed Aug 15 23:57:02 +0000 2018,Jacquelina Quiñones,JacquelinaQB,2692,2715,False,es,0,0
Wed Aug 15 23:57:04 +0000 2018,仮想通貨初心者ナビ,bitcoinkounyujp,1070,1117,False,ja,0,0
Wed Aug 15 23:57:09 +0000 2018,Conor🤑🤑,CryptoConor,164,76,False,nl,0,0
Wed Aug 15 23:57:10 +0000 2018,matt graham,necrobis,87,427,False,en,0,1
Wed Aug 15 23:57:10 +0000 2018,CryptoWill,williamtwl89,116,433,False,en,0,0
Wed Aug 15 23:57:17 +0000 2018,TronVikt,vikvonm,751,1092,False,en,0,0
Wed Aug 15 23:57:19 +0000 2018,Trenz.today,trenztodaynews,8,0,False,en,0,1
Wed Aug 15 23:57:20 +0000 2018,hanh,hanh15597844,36,125,False,en,0,0
Wed Aug 15 23:57:21 +0000 2018,FengyunAdrift,FengyunAdrift,2792,3532,False,en,0,0
Wed Aug 15 23:57:21 +0000 2018,Robert Marchini,rhcm123,1355,1091,False,en,0,0
Wed Aug 15 23:57:22 +0000 2018,CryptoWhale #MGMV,mediblocxqtum,9146,9505,False,en,0,0
Wed Aug 15 23:57:26 +0000 2018,Paz ₿,planetandwaves1,163,564,False,en,0,0
Wed Aug 15 23:57:28 +0000 2018,jeanmarie Bouteiller,jmbouteiller,5,36,False,en,0,0
Wed Aug 15 23:57:31 +0000 2018,"Sammy: Sleep-deprived, Tattooed Hoe",almostdoctorvee,201,720,False,en,0,1
Wed Aug 15 23:57:34 +0000 2018,Humble Libertarian,thehuli,12407,6073,False,en,0,1
Wed Aug 15 23:57:37 +0000 2018,Love others more than yourself!,JArvut,88,846,False,en,0,1
