buyonline_label,legal_description,legal_description_numbers,more_link,more_link/_text,more_link/_title,moreoptions_link,moreoptions_link/_text,moreoptions_link/_title,nlpimage_image,nlpimage_image/_alt,price_value,price_value_prices,productdesp_value,productdetails_image,productdetails_image/_alt,productdetails_link,productdetails_link/_text,productdetails_link/_title,productdetails_link_prices,productlink_image,productlink_image/_alt,productlink_link/_text,productlink_link/_title,producttitle_value,regularprice_price,regularprice_price_1,regularprice_price_2,savetolist_label,size_value_1,size_value_1_numbers,size_value_2,size_value_2_numbers,strikeprice_price,strikeprice_value,type,unit_value,unit_value_numbers,unitprice_label,﻿productlink_link
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/50272946/,More options,More options for TIMSFORS loveseat with chaise,,,,,loveseat with chaise,,,http://www.ikea.com/us/en/catalog/products/50272946/,"TIMSFORS loveseat with chaise $1,299.00 Unit price",,1299.0,http://www.ikea.com/PIAimages/0253462_PE395758_S3.JPG,"TIMSFORS loveseat with chaise, Kimstad dark green, Mjuk Seat width, chaise lounge: 28 3/8 "" Depth: 23 5/8 "" Seat depth, chaise lounge: 47 1/4 "" Seat width, chaise lounge: 72 cm Depth: 60 cm Seat depth, chaise lounge: 120 cm",,,TIMSFORS,1299.0,,,Save to list,"Seat width, chaise lounge: 28 3/8 "", Depth: 23 5/8 "", Seat depth, chaise lounge: 47 1/4 """,28; 23; 47,"Seat width, chaise lounge: 72 cm, Depth: 60 cm, Seat depth, chaise lounge: 120 cm",72; 60; 120,,,sofa,,,Unit price,http://www.ikea.com/us/en/catalog/products/50272946/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/50163773/,More options,"More options for ÅDUM rug, high pile",,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/50163773/,"ÅDUM rug, high pile $59.99 Unit price",,59.99,http://www.ikea.com/PIAimages/0111259_PE261943_S3.JPG,"ÅDUM rug, high pile, off-white Length: 6 ' 5 "" Width: 4 ' 4 "" Area: 27.88 sq feet Length: 195 cm Width: 133 cm Area: 2.59 m²",,,ÅDUM,59.99,,,Save to list,"Length: 6 ' 5 "", Width: 4 ' 4 "", Area: 27.88 sq feet",6; 5; 4; 4; 27.88,"Length: 195 cm, Width: 133 cm, Area: 2.59 m²",195; 133; 2.59,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/50163773/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S49006289/,More options,More options for BEKANT conference table,,,$589.00 Unit price,589.0,conference table,,,http://www.ikea.com/us/en/catalog/products/S49006289/,BEKANT conference table $589.00 Unit price,,589,http://www.ikea.com/PIAimages/0250459_PE388819_S3.JPG,"BEKANT conference table, black, black-brown Length: 110 1/4 "" Width: 55 1/8 "" Height: 28 3/4 "" Length: 280 cm Width: 140 cm Height: 73 cm",,,BEKANT,,,,Save to list,"Length: 110 1/4 "", Width: 55 1/8 "", Height: 28 3/4 """,110; 55; 28,"Length: 280 cm, Width: 140 cm, Height: 73 cm",280; 140; 73,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S49006289/
,,,,,,,,,,,,,"rug, low pile",,,http://www.ikea.com/us/en/catalog/products/10100495/,"VALBY RUTA rug, low pile $69.99 Unit price",,69.99,http://www.ikea.com/PIAimages/56987_PE160176_S3.JPG,"VALBY RUTA rug, low pile, multicolor Length: 7 ' 7 "" Width: 5 ' 7 "" Area: 42.09 sq feet Length: 230 cm Width: 170 cm Area: 3.91 m²",,,VALBY RUTA,69.99,,,Save to list,"Length: 7 ' 7 "", Width: 5 ' 7 "", Area: 42.09 sq feet",7; 7; 5; 7; 42.09,"Length: 230 cm, Width: 170 cm, Area: 3.91 m²",230; 170; 3.91,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/10100495/
Buy online,,,,,,,,,,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/30229039/,"JERNVED rug, high pile $139.00 Unit price",,139,http://www.ikea.com/PIAimages/0185436_PE337429_S3.JPG,"JERNVED rug, high pile, multicolor Length: 7 ' 7 "" Width: 5 ' 3 "" Area: 39.61 sq feet Length: 230 cm Width: 160 cm Area: 3.68 m²",,,JERNVED,139.0,,,Save to list,"Length: 7 ' 7 "", Width: 5 ' 3 "", Area: 39.61 sq feet",7; 7; 5; 3; 39.61,"Length: 230 cm, Width: 160 cm, Area: 3.68 m²",230; 160; 3.68,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/30229039/
,,,,,,,,,,,,,"rug, low pile",,,http://www.ikea.com/us/en/catalog/products/50247754/,"HELSINGE rug, low pile $69.99 Unit price",,69.99,http://www.ikea.com/PIAimages/0174881_PE328332_S3.JPG,"HELSINGE rug, low pile, multicolor Length: 7 ' 7 "" Width: 5 ' 3 "" Area: 39.61 sq feet Length: 230 cm Width: 160 cm Area: 3.68 m²",,,HELSINGE,69.99,,,Save to list,"Length: 7 ' 7 "", Width: 5 ' 3 "", Area: 39.61 sq feet",7; 7; 5; 3; 39.61,"Length: 230 cm, Width: 160 cm, Area: 3.68 m²",230; 160; 3.68,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/50247754/
Buy online,,,,,,,,,,,,,anti-slip underlay,,,http://www.ikea.com/us/en/catalog/products/80227877/,STOPP anti-slip underlay $3.99 Unit price,,3.99,http://www.ikea.com/PIAimages/0156423_PE314582_S3.JPG,"STOPP anti-slip underlay Length: 78 3/4 "" Width: 26 5/8 "" Area: 14.53 sq feet Length: 200 cm Width: 67.5 cm Area: 1.35 m²",,,STOPP,3.99,,,Save to list,"Length: 78 3/4 "", Width: 26 5/8 "", Area: 14.53 sq feet",78; 26; 14.53,"Length: 200 cm, Width: 67.5 cm, Area: 1.35 m²",200; 67.5; 1.35,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/80227877/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S39068471/,More options,"More options for KIVIK sofa, U-shaped",,,,,"sofa, U-shaped",,,http://www.ikea.com/us/en/catalog/products/S39068471/,"KIVIK sofa, U-shaped $1,929.00 Unit price",,1929.0,http://www.ikea.com/PIAimages/0320702_PE514921_S3.JPG,"KIVIK sofa, U-shaped, Dansbo white, 8-seater Width: 129 1/8 "" Depth: 101 1/8 "" Seat height: 17 3/4 "" Width: 328 cm Depth: 257 cm Seat height: 45 cm",,,KIVIK,1929.0,,,Save to list,"Width: 129 1/8 "", Depth: 101 1/8 "", Seat height: 17 3/4 """,129; 101; 17,"Width: 328 cm, Depth: 257 cm, Seat height: 45 cm",328; 257; 45,,,sofa,,,Unit price,http://www.ikea.com/us/en/catalog/products/S39068471/
Buy online,,,,,,,,,,,,,pendant lamp,http://www.ikea.com/ms/img/nlp/en_US/nlp_02.png,???PD_txt_newnlp???,http://www.ikea.com/us/en/catalog/products/50293374/,HEKTAR pendant lamp $59.99 Unit price $69.99 Unit price,,59.99; 69.99,http://www.ikea.com/PIAimages/0301869_PE426880_S3.JPG,"HEKTAR pendant lamp, bronze color Diameter: 19 "" Height: 65 "" Shade height: 18 1/2 "" Diameter: 47 cm Height: 165 cm Shade height: 47 cm",,,HEKTAR,59.99,,,Save to list,"Diameter: 19 "", Height: 65 "", Shade height: 18 1/2 """,19; 65; 18,"Diameter: 47 cm, Height: 165 cm, Shade height: 47 cm",47; 165; 47,69.99,Unit price,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/50293374/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/80230790/,More options,"More options for GÅSER rug, high pile",,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/80230790/,"GÅSER rug, high pile $149.00 Unit price",,149,http://www.ikea.com/PIAimages/0185396_PE337331_S3.JPG,"GÅSER rug, high pile, dark gray Length: 7 ' 10 "" Width: 5 ' 7 "" Area: 43.92 sq feet Length: 240 cm Width: 170 cm Area: 4.08 m²",,,GÅSER,149.0,,,Save to list,"Length: 7 ' 10 "", Width: 5 ' 7 "", Area: 43.92 sq feet",7; 10; 5; 7; 43.92,"Length: 240 cm, Width: 170 cm, Area: 4.08 m²",240; 170; 4.08,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/80230790/
Buy online,,,,,,,,,,,$1.99 Unit price,1.99,tablet stand,,,http://www.ikea.com/us/en/catalog/products/20302596/,ISBERGET tablet stand $1.99 Unit price,,1.99,http://www.ikea.com/PIAimages/0328926_PE519790_S3.JPG,"ISBERGET tablet stand, white Width: 9 7/8 "" Depth: 9 7/8 "" Height: 3 1/2 "" Width: 25 cm Depth: 25 cm Height: 9 cm",,,ISBERGET,,,,Save to list,"Width: 9 7/8 "", Depth: 9 7/8 "", Height: 3 1/2 """,9; 9; 3,"Width: 25 cm, Depth: 25 cm, Height: 9 cm",25; 25; 9,,,desk,,,,http://www.ikea.com/us/en/catalog/products/20302596/
,,,,,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/10149500/,ERBIUM ceiling lamp $24.99 Unit price,,24.99,http://www.ikea.com/PIAimages/30263_PE118327_S3.JPG,"ERBIUM ceiling lamp Diameter: 18 "" Height: 6 "" Diameter: 46 cm Height: 15 cm",,,ERBIUM,24.99,,,Save to list,"Diameter: 18 "", Height: 6 """,18; 6,"Diameter: 46 cm, Height: 15 cm",46; 15,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/10149500/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/90260710/,More options,More options for ALEX desk,,,$169.00 Unit price,169.0,desk,,,http://www.ikea.com/us/en/catalog/products/90260710/,ALEX desk $169.00 Unit price,,169,http://www.ikea.com/PIAimages/0242200_PE381727_S3.JPG,"ALEX desk, gray Width: 51 5/8 "" Depth: 23 5/8 "" Height under furniture: 24 3/8 "" Width: 131 cm Depth: 60 cm Height under furniture: 62 cm",,,ALEX,,,,Save to list,"Width: 51 5/8 "", Depth: 23 5/8 "", Height under furniture: 24 3/8 """,51; 23; 24,"Width: 131 cm, Depth: 60 cm, Height under furniture: 62 cm",131; 60; 62,,,desk,,,,http://www.ikea.com/us/en/catalog/products/90260710/
Buy online,,,,,,,,,,,,,3 sections/shelves,,,http://www.ikea.com/us/en/catalog/products/S19031431/,IVAR 3 sections/shelves $204.50 Unit price,,204.5,http://www.ikea.com/PIAimages/0103924_PE250450_S3.JPG,"IVAR 3 sections/shelves, pine Width: 54 3/4 "" Depth: 19 5/8 "" Min. height: 48 7/8 "" Width: 139 cm Depth: 50 cm Min. height: 124 cm",,,IVAR,,204.5,,Save to list,"Width: 54 3/4 "", Depth: 19 5/8 "", Min. height: 48 7/8 """,54; 19; 48,"Width: 139 cm, Depth: 50 cm, Min. height: 124 cm",139; 50; 124,,,shelf,,,Unit price,http://www.ikea.com/us/en/catalog/products/S19031431/
,,,,,,,,,,,$29.99 Unit price,29.99,frame,,,http://www.ikea.com/us/en/catalog/products/00056884/,GALANT frame $29.99 Unit price,,29.99,http://www.ikea.com/PIAimages/37830_PE129787_S3.JPG,"GALANT frame, silver color Length: 63 "" Thickness: 1 1/8 "" Max. load: 176 lb 6 oz Length: 160 cm Thickness: 3 cm Max. load: 80 kg",,,GALANT,,,,Save to list,"Length: 63 "", Thickness: 1 1/8 "", Max. load: 176 lb 6 oz",63; 1; 176; 6,"Length: 160 cm, Thickness: 3 cm, Max. load: 80 kg",160; 3; 80,,,desk,,,,http://www.ikea.com/us/en/catalog/products/00056884/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/10132260/,More options,More options for STOPP FILT rug underlay with anti-slip,,,,,rug underlay with anti-slip,,,http://www.ikea.com/us/en/catalog/products/10132260/,STOPP FILT rug underlay with anti-slip $3.99 Unit price,,3.99,http://www.ikea.com/PIAimages/39410_PE097520_S3.JPG,"STOPP FILT rug underlay with anti-slip Length: 4 ' 1 "" Width: 2 ' 2 "" Area: 8.72 sq feet Length: 125 cm Width: 65 cm Area: 0.81 m²",,,STOPP FILT,3.99,,,Save to list,"Length: 4 ' 1 "", Width: 2 ' 2 "", Area: 8.72 sq feet",4; 1; 2; 2; 8.72,"Length: 125 cm, Width: 65 cm, Area: 0.81 m²",125; 65; 0.81,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/10132260/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/90279781/,More options,More options for BILLY bookcase,,,,,bookcase,,,http://www.ikea.com/us/en/catalog/products/90279781/,BILLY bookcase $79.99 Unit price,,79.99,http://www.ikea.com/PIAimages/0252346_PE391170_S3.JPG,"BILLY bookcase, medium brown Width: 31 1/2 "" Depth: 11 "" Height: 79 1/2 "" Width: 80 cm Depth: 28 cm Height: 202 cm",,,BILLY,,79.99,,Save to list,"Width: 31 1/2 "", Depth: 11 "", Height: 79 1/2 """,31; 11; 79,"Width: 80 cm, Depth: 28 cm, Height: 202 cm",80; 28; 202,,,bookcase,,,Unit price,http://www.ikea.com/us/en/catalog/products/90279781/
Buy online,,,,,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/40176035/,ALÄNG ceiling lamp $44.99 Unit price,,44.99,http://www.ikea.com/PIAimages/0120131_PE276558_S3.JPG,"ALÄNG ceiling lamp, white Diameter: 18 "" Height: 6 "" Diameter: 45 cm Height: 15 cm",,,ALÄNG,44.99,,,Save to list,"Diameter: 18 "", Height: 6 """,18; 6,"Diameter: 45 cm, Height: 15 cm",45; 15,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/40176035/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S09066671/,More options,"More options for KIVIK sofa, U-shaped",,,,,"sofa, U-shaped",,,http://www.ikea.com/us/en/catalog/products/S09066671/,"KIVIK sofa, U-shaped $3,079.00 Unit price",,3079.0,http://www.ikea.com/PIAimages/0320711_PE514918_S3.JPG,"KIVIK sofa, U-shaped, Grann/Bomstad dark brown, 8-seater Width: 129 1/8 "" Depth: 101 1/8 "" Seat depth: 22 7/8 "" Width: 328 cm Depth: 257 cm Seat depth: 58 cm",,,KIVIK,3079.0,,,Save to list,"Width: 129 1/8 "", Depth: 101 1/8 "", Seat depth: 22 7/8 """,129; 101; 22,"Width: 328 cm, Depth: 257 cm, Seat depth: 58 cm",328; 257; 58,,,sofa,,,Unit price,http://www.ikea.com/us/en/catalog/products/S09066671/
Buy online,,,,,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/70277472/,VARV ceiling lamp $49.99 Unit price,,49.99,http://www.ikea.com/PIAimages/0331270_PE523027_S3.JPG,"VARV ceiling lamp, white Diameter: 22 "" Height: 8 "" Diameter: 55 cm Height: 20 cm",,,VARV,49.99,,,Save to list,"Diameter: 22 "", Height: 8 """,22; 8,"Diameter: 55 cm, Height: 20 cm",55; 20,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/70277472/
Buy online,,,,,,,,,,,$159.00 Unit price,159.0,desk,,,http://www.ikea.com/us/en/catalog/products/80133402/,LEKSVIK desk $159.00 Unit price,,159,http://www.ikea.com/PIAimages/82502_PE208363_S3.JPG,"LEKSVIK desk, black Width: 46 7/8 "" Depth: 23 5/8 "" Height: 29 1/8 "" Width: 119 cm Depth: 60 cm Height: 74 cm",,,LEKSVIK,,,,Save to list,"Width: 46 7/8 "", Depth: 23 5/8 "", Height: 29 1/8 """,46; 23; 29,"Width: 119 cm, Depth: 60 cm, Height: 74 cm",119; 60; 74,,,desk,,,,http://www.ikea.com/us/en/catalog/products/80133402/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S59023373/,More options,More options for BILLY bookcase,,,,,bookcase,,,http://www.ikea.com/us/en/catalog/products/S59023373/,BILLY bookcase $284.97 Unit price,,284.97,http://www.ikea.com/PIAimages/0255430_PE399472_S3.JPG,"BILLY bookcase, medium brown Width: 47 1/4 "" Depth: 11 "" Height: 93 1/4 "" Width: 120 cm Depth: 28 cm Height: 237 cm",,,BILLY,,284.97,,Save to list,"Width: 47 1/4 "", Depth: 11 "", Height: 93 1/4 """,47; 11; 93,"Width: 120 cm, Depth: 28 cm, Height: 237 cm",120; 28; 237,,,bookcase,,,Unit price,http://www.ikea.com/us/en/catalog/products/S59023373/
,,,,,,,,,,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/90313011/,"HAMPEN rug, high pile $9.99 Unit price",,9.99,http://www.ikea.com/PIAimages/0378552_PE554242_S3.JPG,"HAMPEN rug, high pile, gray Length: 2 ' 7 "" Width: 2 ' 7 "" Area: 6.89 sq feet Length: 80 cm Width: 80 cm Area: 0.64 m²",,,HAMPEN,9.99,,,Save to list,"Length: 2 ' 7 "", Width: 2 ' 7 "", Area: 6.89 sq feet",2; 7; 2; 7; 6.89,"Length: 80 cm, Width: 80 cm, Area: 0.64 m²",80; 80; 0.64,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/90313011/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S39128917/,More options,More options for FALKHÖJDEN desk with add-on unit,,,$109.99 Unit price,109.99,desk with add-on unit,,,http://www.ikea.com/us/en/catalog/products/S39128917/,FALKHÖJDEN desk with add-on unit $109.99 Unit price,,109.99,http://www.ikea.com/PIAimages/0382707_PE557448_S3.JPG,"FALKHÖJDEN desk with add-on unit, white Length: 43 1/4 "" Width: 25 5/8 "" Height: 46 1/2 "" Length: 110 cm Width: 65 cm Height: 118 cm",,,FALKHÖJDEN,,,,Save to list,"Length: 43 1/4 "", Width: 25 5/8 "", Height: 46 1/2 """,43; 25; 46,"Length: 110 cm, Width: 65 cm, Height: 118 cm",110; 65; 118,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S39128917/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S79006419/,More options,More options for BEKANT corner desk-right,,,$239.00 Unit price,239.0,corner desk-right,,,http://www.ikea.com/us/en/catalog/products/S79006419/,BEKANT corner desk-right $239.00 Unit price,,239,http://www.ikea.com/PIAimages/0250499_PE388852_S3.JPG,"BEKANT corner desk-right, black, gray Length: 63 "" Depth: 43 1/4 "" Min. height: 25 5/8 "" Length: 160 cm Depth: 110 cm Min. height: 65 cm",,,BEKANT,,,,Save to list,"Length: 63 "", Depth: 43 1/4 "", Min. height: 25 5/8 """,63; 43; 25,"Length: 160 cm, Depth: 110 cm, Min. height: 65 cm",160; 110; 65,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S79006419/
,"In compliance with California Title 20 regulations, product prices and features may vary in the state of California. Please see your local store for details",20.0,http://info.ikea-usa.com/StoreLocator/StoreLocator.aspx,More information,,,,,,,,,pendant lamp,,,http://www.ikea.com/us/en/catalog/products/60071344/,KNAPPA pendant lamp $24.99 Unit price,,24.99,http://www.ikea.com/PIAimages/36265_PE127360_S3.JPG,"KNAPPA pendant lamp, white Diameter: 18 "" Height: 14 ¼ "" Cord length: 15 ' 5 "" Diameter: 46 cm Height: 36 cm Cord length: 4.7 m",,,KNAPPA,24.99,,,Save to list,"Diameter: 18 "", Height: 14 ¼ "", Cord length: 15 ' 5 """,18; 14; 15; 5,"Diameter: 46 cm, Height: 36 cm, Cord length: 4.7 m",46; 36; 4.7,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/60071344/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/90261229/,More options,More options for BRÄDA laptop support,,,$4.99 Unit price,4.99,laptop support,,,http://www.ikea.com/us/en/catalog/products/90261229/,BRÄDA laptop support $4.99 Unit price,,4.99,http://www.ikea.com/PIAimages/0214233_PE369952_S3.JPG,"BRÄDA laptop support, pink Width: 16 1/2 "" Depth: 12 1/4 "" Height: 3 1/2 "" Width: 42 cm Depth: 31 cm Height: 9 cm",,,BRÄDA,,,,Save to list,"Width: 16 1/2 "", Depth: 12 1/4 "", Height: 3 1/2 """,16; 12; 3,"Width: 42 cm, Depth: 31 cm, Height: 9 cm",42; 31; 9,,,desk,,,,http://www.ikea.com/us/en/catalog/products/90261229/
Buy online,,,,,,,,,,,$328.98 Unit price,328.98,workstation,,,http://www.ikea.com/us/en/catalog/products/S19123058/,KALLAX workstation $328.98 Unit price,,328.98,http://www.ikea.com/PIAimages/0366698_PE549117_S3.JPG,"KALLAX workstation, white/green Width: 57 7/8 "" Height: 57 7/8 "" Width: 147 cm Height: 147 cm",,,KALLAX,,,,Save to list,"Width: 57 7/8 "", Height: 57 7/8 """,57; 57,"Width: 147 cm, Height: 147 cm",147; 147,,,desk,,,,http://www.ikea.com/us/en/catalog/products/S19123058/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/20259300/,More options,"More options for HAMPEN rug, high pile",,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/20259300/,"HAMPEN rug, high pile $39.99 Unit price",,39.99,http://www.ikea.com/PIAimages/0185428_PE337392_S3.JPG,"HAMPEN rug, high pile, beige Length: 6 ' 5 "" Width: 4 ' 4 "" Area: 27.88 sq feet Length: 195 cm Width: 133 cm Area: 2.59 m²",,,HAMPEN,39.99,,,Save to list,"Length: 6 ' 5 "", Width: 4 ' 4 "", Area: 27.88 sq feet",6; 5; 4; 4; 27.88,"Length: 195 cm, Width: 133 cm, Area: 2.59 m²",195; 133; 2.59,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/20259300/
Buy online,,,,,,,,,,,,,door mat,,,http://www.ikea.com/us/en/catalog/products/80047635/,SINDAL door mat $4.99 Unit price,,4.99,http://www.ikea.com/PIAimages/76475_PE087957_S3.JPG,"SINDAL door mat, natural Length: 2 ' 7 "" Width: 1 ' 8 "" Area: 4.31 sq feet Length: 80 cm Width: 50 cm Area: 0.40 m²",,,SINDAL,4.99,,,Save to list,"Length: 2 ' 7 "", Width: 1 ' 8 "", Area: 4.31 sq feet",2; 7; 1; 8; 4.31,"Length: 80 cm, Width: 50 cm, Area: 0.40 m²",80; 50; 0.4,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/80047635/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/50282120/,More options,More options for HEMNES cabinet with panel/glass door,,,,,cabinet with panel/glass door,,,http://www.ikea.com/us/en/catalog/products/50282120/,HEMNES cabinet with panel/glass door $229.00 Unit price,,229.0,http://www.ikea.com/PIAimages/0255098_PE399042_S3.JPG,"HEMNES cabinet with panel/glass door, light brown Width: 19 1/4 "" Depth: 14 5/8 "" Height: 77 1/2 "" Width: 49 cm Depth: 37 cm Height: 197 cm",,,HEMNES,,229.0,,Save to list,"Width: 19 1/4 "", Depth: 14 5/8 "", Height: 77 1/2 """,19; 14; 77,"Width: 49 cm, Depth: 37 cm, Height: 197 cm",49; 37; 197,,,bookcase,,,Unit price,http://www.ikea.com/us/en/catalog/products/50282120/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/70203768/,More options,"More options for HAMPEN rug, high pile",,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/70203768/,"HAMPEN rug, high pile $39.99 Unit price",,39.99,http://www.ikea.com/PIAimages/0118945_PE275048_S3.JPG,"HAMPEN rug, high pile, bright green Length: 6 ' 5 "" Width: 4 ' 4 "" Area: 27.88 sq feet Length: 195 cm Width: 133 cm Area: 2.59 m²",,,HAMPEN,39.99,,,Save to list,"Length: 6 ' 5 "", Width: 4 ' 4 "", Area: 27.88 sq feet",6; 5; 4; 4; 27.88,"Length: 195 cm, Width: 133 cm, Area: 2.59 m²",195; 133; 2.59,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/70203768/
,,,,,,,,,,,,,pendant lamp,,,http://www.ikea.com/us/en/catalog/products/80196791/,FOTO pendant lamp $29.99 Unit price,,29.99,http://www.ikea.com/PIAimages/0120133_PE276560_S3.JPG,"FOTO pendant lamp, dark gray Diameter: 20 "" Total height: 67 "" Cord length: 47 "" Diameter: 50 cm Total height: 170 cm Cord length: 120 cm",,,FOTO,29.99,,,Save to list,"Diameter: 20 "", Total height: 67 "", Cord length: 47 """,20; 67; 47,"Diameter: 50 cm, Total height: 170 cm, Cord length: 120 cm",50; 170; 120,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/80196791/
Buy online,,,,,,,,,,,,,"ceiling track, 3 spotlights",,,http://www.ikea.com/us/en/catalog/products/90262587/,"BASISK ceiling track, 3 spotlights $24.99 Unit price",,24.99,http://www.ikea.com/PIAimages/0138856_PE298668_S3.JPG,"BASISK ceiling track, 3 spotlights, white, nickel plated Length: 30 "" Shade diameter: 3 "" Length: 76 cm Shade diameter: 7 cm",,,BASISK,24.99,,,Save to list,"Length: 30 "", Shade diameter: 3 """,30; 3,"Length: 76 cm, Shade diameter: 7 cm",76; 7,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/90262587/
Buy online,,,,,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/10280788/,SVIRVEL ceiling lamp $12.99 Unit price,,12.99,http://www.ikea.com/PIAimages/0372596_PE552315_S3.JPG,"SVIRVEL ceiling lamp, white Diameter: 11 "" Height: 5 "" Diameter: 27 cm Height: 13 cm",,,SVIRVEL,12.99,,,Save to list,"Diameter: 11 "", Height: 5 """,11; 5,"Diameter: 27 cm, Height: 13 cm",27; 13,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/10280788/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/30287939/,More options,More options for KÖGE door mat,,,,,door mat,http://www.ikea.com/ms/img/nlp/en_US/nlp_02.png,???PD_txt_newnlp???,http://www.ikea.com/us/en/catalog/products/30287939/,KÖGE door mat $12.99 Unit price $14.99 Unit price,,12.99; 14.99,http://www.ikea.com/PIAimages/0308586_PE428291_S3.JPG,"KÖGE door mat, black, gray Length: 2 ' 11 "" Width: 2 ' 3 "" Area: 6.67 sq feet Length: 90 cm Width: 69 cm Area: 0.62 m²",,,KÖGE,12.99,,,Save to list,"Length: 2 ' 11 "", Width: 2 ' 3 "", Area: 6.67 sq feet",2; 11; 2; 3; 6.67,"Length: 90 cm, Width: 69 cm, Area: 0.62 m²",90; 69; 0.62,14.99,Unit price,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/30287939/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/50313013/,More options,"More options for HAMPEN rug, high pile",,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/50313013/,"HAMPEN rug, high pile $59.99 Unit price",,59.99,http://www.ikea.com/PIAimages/0371228_PE553828_S3.JPG,"HAMPEN rug, high pile, gray Length: 7 ' 7 "" Width: 5 ' 3 "" Area: 39.61 sq feet Length: 230 cm Width: 160 cm Area: 3.68 m²",,,HAMPEN,59.99,,,Save to list,"Length: 7 ' 7 "", Width: 5 ' 3 "", Area: 39.61 sq feet",7; 7; 5; 3; 39.61,"Length: 230 cm, Width: 160 cm, Area: 3.68 m²",230; 160; 3.68,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/50313013/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/30306476/,More options,More options for VITTSJÖ laptop stand,,,$29.99 Unit price,29.99,laptop stand,,,http://www.ikea.com/us/en/catalog/products/30306476/,VITTSJÖ laptop stand $29.99 Unit price,,29.99,http://www.ikea.com/PIAimages/0324873_PE517661_S3.JPG,"VITTSJÖ laptop stand, glass, red Depth: 21 5/8 "" Height: 25 5/8 "" Width: 13 3/4 "" Depth: 55 cm Height: 65 cm Width: 35 cm",,,VITTSJÖ,,,,Save to list,"Depth: 21 5/8 "", Height: 25 5/8 "", Width: 13 3/4 """,21; 25; 13,"Depth: 55 cm, Height: 65 cm, Width: 35 cm",55; 65; 35,,,desk,,,,http://www.ikea.com/us/en/catalog/products/30306476/
