buyonline_label,legal_description,legal_description_numbers,more_link,more_link/_text,more_link/_title,moreoptions_link,moreoptions_link/_text,moreoptions_link/_title,nlpimage_image,nlpimage_image/_alt,price_value,price_value_prices,productdesp_value,productdetails_image,productdetails_image/_alt,productdetails_link,productdetails_link/_text,productdetails_link/_title,productdetails_link_prices,productlink_image,productlink_image/_alt,productlink_link/_text,productlink_link/_title,producttitle_value,regularprice_price,regularprice_price_1,regularprice_price_2,savetolist_label,size_value_1,size_value_1_numbers,size_value_2,size_value_2_numbers,strikeprice_price,strikeprice_value,type,unit_value,unit_value_numbers,unitprice_label,﻿productlink_link
Buy online,,,,,,,,,,,,,"ceiling track, 3 spotlights",,,http://www.ikea.com/us/en/catalog/products/80304502/,"SVIRVEL ceiling track, 3 spotlights $19.99 Unit price",,19.99,http://www.ikea.com/PIAimages/0372603_PE552316_S3.JPG,"SVIRVEL ceiling track, 3 spotlights Length: 15 "" Shade diameter: 4 "" Length: 38 cm Shade diameter: 9 cm",,,SVIRVEL,19.99,,,Save to list,"Length: 15 "", Shade diameter: 4 """,15; 4,"Length: 38 cm, Shade diameter: 9 cm",38; 9,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/80304502/
Buy online,,,,,,,,,,,,,cross-brace,,,http://www.ikea.com/us/en/catalog/products/87749600/,OBSERVATÖR cross-brace $5.00 Unit price,,5,http://www.ikea.com/PIAimages/20200_PE091016_S3.JPG,"OBSERVATÖR cross-brace, galvanized Length: 39 3/8 "" Length: 100 cm",,,OBSERVATÖR,,5.0,,Save to list,"Length: 39 3/8 """,39,Length: 100 cm,100,,,shelf,,,Unit price,http://www.ikea.com/us/en/catalog/products/87749600/
Buy online,,,,,,,,,,,,,4 sections with shelves,,,http://www.ikea.com/us/en/catalog/products/S49046978/,HEJNE 4 sections with shelves $149.50 Unit price,,149.5,http://www.ikea.com/PIAimages/0300667_PE426390_S3.JPG,"HEJNE 4 sections with shelves, softwood Width: 120 7/8 "" Depth: 19 5/8 "" Height: 67 3/8 "" Width: 307 cm Depth: 50 cm Height: 171 cm",,,HEJNE,,149.5,,Save to list,"Width: 120 7/8 "", Depth: 19 5/8 "", Height: 67 3/8 """,120; 19; 67,"Width: 307 cm, Depth: 50 cm, Height: 171 cm",307; 50; 171,,,shelf,,,Unit price,http://www.ikea.com/us/en/catalog/products/S49046978/
Buy online,,,,,,,,,,,,,door mat,,,http://www.ikea.com/us/en/catalog/products/90239304/,TVIS door mat $3.99 Unit price,,3.99,http://www.ikea.com/PIAimages/0146826_PE305821_S3.JPG,"TVIS door mat, red, half-moon Width: 2 ' 7 "" Height: 1 ' 8 "" Area: 2.69 sq feet Width: 80 cm Height: 50 cm Area: 0.25 m²",,,TVIS,3.99,,,Save to list,"Width: 2 ' 7 "", Height: 1 ' 8 "", Area: 2.69 sq feet",2; 7; 1; 8; 2.69,"Width: 80 cm, Height: 50 cm, Area: 0.25 m²",80; 50; 0.25,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/90239304/
Buy online,,,,,,,,,,,,,"ceiling track, 3 spotlights",,,http://www.ikea.com/us/en/catalog/products/20297496/,"HEKTAR ceiling track, 3 spotlights $29.99 Unit price",,29.99,http://www.ikea.com/PIAimages/0314683_PE516621_S3.JPG,"HEKTAR ceiling track, 3 spotlights, bronze color Length: 24 "" Shade diameter: 4 "" Length: 61 cm Shade diameter: 9 cm",,,HEKTAR,29.99,,,Save to list,"Length: 24 "", Shade diameter: 4 """,24; 4,"Length: 61 cm, Shade diameter: 9 cm",61; 9,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/20297496/
,,,,,,,,,,,,,sheepskin,,,http://www.ikea.com/us/en/catalog/products/70026822/,RENS sheepskin $29.99 Unit price,,29.99,http://www.ikea.com/PIAimages/28331_PE097271_S3.JPG,"RENS sheepskin, white Length: 28 "" Width: 16 "" Area: 3.01 sq feet Length: 70 cm Width: 40 cm Area: 0.28 m²",,,RENS,29.99,,,Save to list,"Length: 28 "", Width: 16 "", Area: 3.01 sq feet",28; 16; 3.01,"Length: 70 cm, Width: 40 cm, Area: 0.28 m²",70; 40; 0.28,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/70026822/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S69023377/,More options,More options for BILLY bookcase,,,,,bookcase,,,http://www.ikea.com/us/en/catalog/products/S69023377/,BILLY bookcase $159.98 Unit price,,159.98,http://www.ikea.com/PIAimages/0255422_PE399477_S3.JPG,"BILLY bookcase, medium brown Width: 63 "" Depth: 11 "" Height: 79 1/2 "" Width: 160 cm Depth: 28 cm Height: 202 cm",,,BILLY,,159.98,,Save to list,"Width: 63 "", Depth: 11 "", Height: 79 1/2 """,63; 11; 79,"Width: 160 cm, Depth: 28 cm, Height: 202 cm",160; 28; 202,,,bookcase,,,Unit price,http://www.ikea.com/us/en/catalog/products/S69023377/
,,,,,,,,,,,,,"rug, low pile",,,http://www.ikea.com/us/en/catalog/products/10229040/,"SNEKKERSTEN rug, low pile $69.99 Unit price",,69.99,http://www.ikea.com/PIAimages/0217342_PE373599_S3.JPG,"SNEKKERSTEN rug, low pile, gray Length: 7 ' 7 "" Width: 5 ' 3 "" Area: 39.61 sq feet Length: 230 cm Width: 160 cm Area: 3.68 m²",,,SNEKKERSTEN,69.99,,,Save to list,"Length: 7 ' 7 "", Width: 5 ' 3 "", Area: 39.61 sq feet",7; 7; 5; 3; 39.61,"Length: 230 cm, Width: 160 cm, Area: 3.68 m²",230; 160; 3.68,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/10229040/
Buy online,,,,,,,,,,,,,pendant lamp,,,http://www.ikea.com/us/en/catalog/products/20279888/,IKEA PS 2014 pendant lamp $69.99 Unit price,,69.99,http://www.ikea.com/PIAimages/0238734_PE378510_S3.JPG,"IKEA PS 2014 pendant lamp, orange, white Diameter: 14 "" Cord length: 4 ' 11 "" Diameter: 35 cm Cord length: 150 cm",,,IKEA PS 2014,69.99,,,Save to list,"Diameter: 14 "", Cord length: 4 ' 11 """,14; 4; 11,"Diameter: 35 cm, Cord length: 150 cm",35; 150,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/20279888/
Buy online,,,,,,,,,,,,,"ceiling track, 5-spots",,,http://www.ikea.com/us/en/catalog/products/20262581/,"BAROMETER ceiling track, 5-spots $49.99 Unit price",,49.99,http://www.ikea.com/PIAimages/0395484_PE566556_S3.JPG,"BAROMETER ceiling track, 5-spots, nickel plated Length: 52 "" Shade diameter: 3 "" Length: 131 cm Shade diameter: 6.5 cm",,,BAROMETER,49.99,,,Save to list,"Length: 52 "", Shade diameter: 3 """,52; 3,"Length: 131 cm, Shade diameter: 6.5 cm",131; 6.5,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/20262581/
