Time,anxbtc,cavirtex,coinbase,kraken,localbitcoins,mtgox,quadrigacx,wallofcoins
2013-07-26 00:00:00 UTC,,331.0912,,,4.7427,135.41478935,,
2013-07-27 00:00:00 UTC,,186.3151,,,4.8409,107.4555866,,
2013-07-28 00:00:00 UTC,,412.4328,,,7.0919,209.56958309,,
2013-07-29 00:00:00 UTC,,255.0844,,,5.2,28.62255158,,
2013-07-30 00:00:00 UTC,,2012.3354,,,3.7,114.53413428,,
2013-07-31 00:00:00 UTC,,1070.1763,,,14.4837,232.334488,,
2013-08-01 00:00:00 UTC,,439.5944,,,10.4363,94.67107778,,
2013-08-02 00:00:00 UTC,,658.9156,,,5.5455,328.82938479,,
2013-08-03 00:00:00 UTC,,375.1425,,,2.1418,41.0923247,,
2013-08-04 00:00:00 UTC,,520.2057,,,18.4775,57.07722077,,
2013-08-05 00:00:00 UTC,,382.627,,,8.159,163.52880237,,
2013-08-06 00:00:00 UTC,,174.9218,,,36.5336,77.57919902,,
2013-08-07 00:00:00 UTC,,586.0113,,,21.1244,63.03640565,,
2013-08-08 00:00:00 UTC,,344.2939,,,32.0154,48.93090866,,
2013-08-09 00:00:00 UTC,,428.0286,,,12.0289,118.53806713,,
2013-08-10 00:00:00 UTC,,85.9507,,,19.4489,48.6937836,,
2013-08-11 00:00:00 UTC,,169.3691,,,10.3798,14.90536966,,
2013-08-12 00:00:00 UTC,,328.9899,,,13.7727,76.04625209,,
2013-08-13 00:00:00 UTC,,458.9622,,,38.5733,132.98347896,,
2013-08-14 00:00:00 UTC,,681.0128,,,8.4886,1151.71841929,,
2013-08-15 00:00:00 UTC,,412.2572,,,19.4378,52.85738594,,
2013-08-16 00:00:00 UTC,,332.9049,,,22.6624,841.77403917,,
2013-08-17 00:00:00 UTC,,128.7718,,,23.2157,69.35691939,,
2013-08-18 00:00:00 UTC,,181.2689,,,2.7414,76.07727415,,
2013-08-19 00:00:00 UTC,,464.2175,,,32.2399,323.80337929,,
2013-08-20 00:00:00 UTC,,807.207,,,27.8909,147.90575781,,
2013-08-21 00:00:00 UTC,,1204.7893,,,18.7088,149.90166695,,
2013-08-22 00:00:00 UTC,,1026.0186,,,19.8788,459.57877025,,
2013-08-23 00:00:00 UTC,,771.7939,,,51.7881991,130.70261821,,
2013-08-24 00:00:00 UTC,,374.15,,,12.38067996,146.90307612,,
2013-08-25 00:00:00 UTC,,354.2793,,,12.4886,272.34667061,,
2013-08-26 00:00:00 UTC,,455.6491,,,24.0647,1395.02464947,,
2013-08-27 00:00:00 UTC,,1370.4355,,,48.9269,542.70071656,,
2013-08-28 00:00:00 UTC,,1089.3425,,,20.3319,534.13930825,,
2013-08-29 00:00:00 UTC,,1292.2156,,,40.0056,183.95160173,,
2013-08-30 00:00:00 UTC,,1313.5313,,,29.3239,888.085166,,
2013-08-31 00:00:00 UTC,,782.8743,,,18.7811,207.98638875,,
2013-09-01 00:00:00 UTC,,317.9307,,,14.6047,148.73265575,,
2013-09-02 00:00:00 UTC,,201.1459,,,22.6955,81.82283794,,
2013-09-03 00:00:00 UTC,,359.8744,,,43.0443,136.16171477,,
2013-09-04 00:00:00 UTC,,957.0445,,,16.62536363,864.74271705,,
2013-09-05 00:00:00 UTC,,1512.3083,,,16.8746,149.19003042,,
2013-09-06 00:00:00 UTC,,957.4665,,,32.0299,536.72845928,,
2013-09-07 00:00:00 UTC,,508.5693,,,28.8954,173.68700301,,
2013-09-08 00:00:00 UTC,,333.8691,,,12.2861,614.59685072,,
2013-09-09 00:00:00 UTC,,642.4513,,,7.6244,501.23995765,,
2013-09-10 00:00:00 UTC,,529.2237,,,12.5498,90.76190203,,
2013-09-11 00:00:00 UTC,,905.7577,,,8.2611,386.73365,,
2013-09-12 00:00:00 UTC,,542.0545,,,21.4056,202.46277998,,
2013-09-13 00:00:00 UTC,,342.0484,,,18.0606,73.03631087,,
2013-09-14 00:00:00 UTC,,397.3125,,,33.9285,52.87027948,,
2013-09-15 00:00:00 UTC,,100.2755,,,15.6681,137.88661253,,
2013-09-16 00:00:00 UTC,,328.0227,,,21.0713,29.5425,,
2013-09-17 00:00:00 UTC,,463.1939,,,35.3516,118.69052854,,
2013-09-18 00:00:00 UTC,,620.1066,,,36.737,37.77100106,,
2013-09-19 00:00:00 UTC,,422.5742,,,29.7308,189.68376479,,
2013-09-20 00:00:00 UTC,,420.084,,,36.72354,9.54010874,,
2013-09-21 00:00:00 UTC,,137.3595,,,21.6589,23.15501589,,
2013-09-22 00:00:00 UTC,,88.1851,,,21.8366,30.73371018,,
2013-09-23 00:00:00 UTC,,250.817,,,80.6427,67.6408334,,
2013-09-24 00:00:00 UTC,,311.1723,,,74.6611,131.14216751,,
2013-09-25 00:00:00 UTC,,385.9367,,,51.483,223.54040052,,
2013-09-26 00:00:00 UTC,,574.4952,,,55.7728,128.3307733,,
