Time,CAD,EUR,GBP,IDR,JPY,KRW,PLN,RUB,USD,others
2018-04-27 00:00:00 UTC,284.46777574,12208.63152852,1772.86834579,351.56360252,16522.2234674797,1013.3960546099,1127.35004594,678.5903451,71915.8587600731,883.0084009928003
2018-04-28 00:00:00 UTC,171.75099679,10249.48517317,1586.4129858,347.1640789,18329.8246899498,909.856431883922,1073.13943493,687.41242948,85675.491908131,585.9714906080499
2018-04-29 00:00:00 UTC,276.33397728,8396.59062535,1419.68830231,355.45602633,15868.9346919198,1007.9191512696,1067.81855594,628.56559038,63356.0122861438,595.8367540699498
2018-04-30 00:00:00 UTC,173.47509807,9208.83442842999,1638.24438673,358.47903247,11022.5900244999,1067.53685847435,939.26782038,656.27873188,58309.3937993818,790.1012737926299
2018-05-01 00:00:00 UTC,524.4755848,11096.4141641,1675.08623523,346.69322443,15159.7390164898,1053.61155929045,1193.28211585,541.99108318,67592.8622881902,815.3049907533799
2018-05-02 00:00:00 UTC,270.69129198,9427.0744497,1388.37684802,299.92433643,10635.5945358099,708.353673758153,1143.49570737,638.97662794,54512.4242238124,917.3191170272198
2018-05-03 00:00:00 UTC,600.21082572,14824.89711988,1697.77776023,546.16854227,16203.8382402398,1596.03933971319,1206.20896023,720.0272419,87923.8436901434,1299.2601445014498
